108.0;67.71654;16.56;WYCHUDZENIE
132.0;66.14173;21.21;NORMA
187.0;68.89764;27.69;NADWAGA
165.0;66.14173;26.51;NADWAGA
116.0;66.53543;18.42;NIEDOWAGA
249.0;68.11024;37.73;OTYLOSC II STOPNIA
180.0;71.25984;24.92;NORMA
130.0;65.35433;21.4;NORMA
94.0;66.92913;14.75;WYGLODZENIE
149.0;77.16535;17.59;NIEDOWAGA
198.0;75.59055;24.36;NORMA
235.0;69.68504;34.02;OTYLOSC I STOPNIA
123.0;74.01575;15.78;WYGLODZENIE
266.0;70.47244;37.65;OTYLOSC II STOPNIA
174.0;70.86614;24.36;NORMA
216.0;80.31496;23.54;NORMA
224.0;68.50394;33.56;OTYLOSC I STOPNIA
143.0;64.96063;23.82;NORMA
169.0;79.13386;18.97;NORMA
207.0;74.01575;26.56;NADWAGA
108.0;67.71654;16.56;WYCHUDZENIE
